ID,Name,Poster,NumTracks,TopTracks,Likes,Reposts,PostedTime,Genre,Length
P1479,folk,U9040,103,"['T1257', 'T11220', 'T327', 'T1255', 'T1258', 'T323', 'T1254', 'T12620', 'T328', 'T12621']",1,1,17 May 2019,folk,3:06:12
P1480,folk,U9043,76,"['T12622', 'T12623', 'T12624', 'T12625', 'T12626', 'T12627', 'T12628', 'T12629', 'T12630', 'T12631']",1,29,14 January 2015,folk,3:29:34
P1481,folk,U9054,95,"['T1124', 'T1126', 'T1519', 'T1128', 'T559', 'T10669', 'T10668', 'T93', 'T1443', 'T11910']",1,1,16 January 2016,folk,3:19:16
P1482,Folk,U9055,96,"['T98', 'T12632', 'T12633', 'T12634', 'T391', 'T12045', 'T12635', 'T12636', 'T389', 'T12447']",3,1,10 May 2015,folk,3:54:55
P1483,folk,U9056,113,"['T12637', 'T12638', 'T12639', 'T12640', 'T12641', 'T12642', 'T12643', 'T12644', 'T12645', 'T12646']",1,None,15 March 2019,folk,5:24:57
P1484,folk,U9067,45,"['T12647', 'T12648', 'T12649', 'T12650', 'T12358', 'T12651', 'T12652', 'T12653', 'T12654', 'T12655']",3,2,22 March 2021,folk,3:33:45
P1485,folk,U9076,175,"['T12656', 'T12657', 'T12658', 'T12659', 'T12660', 'T12661', 'T12662', 'T12663', 'T12664', 'T12665']",11,None,29 August 2017,folk,3:50:25
P1486,●Folk!,U9078,117,"['T12666', 'T12065', 'T12066', 'T12667', 'T255', 'T12668', 'T12669', 'T12670', 'T12671', 'T11641']",12,2,7 February 2017,folk,2:24:51
P1487,Folk,U9082,88,"['T12672', 'T12673', 'T12674', 'T12675', 'T12676', 'T12677', 'T12678', 'T12679', 'T12680', 'T12681']",1,23,23 May 2013,folk,2:59:00
P1488,folk,U9087,89,"['T12682', 'T12683', 'T12205', 'T12684', 'T12685', 'T10813', 'T12686', 'T384', 'T12687', 'T12688']",4,None,20 May 2015,folk,3:06:56
P1489,Folk,U9093,116,"['T12689', 'T12690', 'T12691', 'T12692', 'T12693', 'T11263', 'T12694', 'T12695', 'T12696', 'T12697']",4,5,13 March 2015,folk,2:19:07
P1490,folk,U9098,164,"['T12698', 'T12699', 'T12700', 'T12701', 'T12702', 'T12703', 'T12704', 'T12705', 'T12706', 'T12707']",8,None,7 September 2016,folk,5:29:21
P1491,Folk,U9109,86,"['T12408', 'T12708', 'T12709', 'T615', 'T12710', 'T12711', 'T12712', 'T12713', 'T12714', 'T12715']",1,76,13 March 2014,folk,2:38:05
P1492,folk+,U9112,128,"['T12716', 'T1390', 'T12717', 'T12718', 'T12719', 'T12720', 'T12721', 'T12722', 'T12723', 'T12724']",17,None,16 August 2020,folk,1:01:16
P1493,folk,U9113,101,"['T11732', 'T95', 'T11724', 'T91', 'T720', 'T11721', 'T723', 'T11219', 'T12725', 'T12726']",3,1,26 May 2017,folk,3:34:27
P1494,folk,U9115,162,"['T12727', 'T12728', 'T12729', 'T12730', 'T12731', 'T12732', 'T12733', 'T12734', 'T12735', 'T12736']",None,None,28 July 2022,folk,4:14:03
P1495,folk,U9125,128,"['T12737', 'T12738', 'T12739', 'T12740', 'T12741', 'T12742', 'T12743', 'T12744', 'T12745', 'T12746']",1,None,21 April 2015,folk,2:34:38
P1496,folk,U9133,97,"['T12747', 'T12182', 'T12748', 'T12749', 'T12750', 'T12751', 'T12752', 'T12753', 'T12754', 'T12755']",5,None,23 April 2018,folk,3:14:08
P1497,folk,U9140,82,"['T12756', 'T3645', 'T4188', 'T12757', 'T12758', 'T12759', 'T12760', 'T12761', 'T12762', 'T12763']",14,None,14 March 2016,folk,2:33:32
P1498,FOLK,U9148,106,"['T11505', 'T12764', 'T12765', 'T12766', 'T11981', 'T12767', 'T11739', 'T12768', 'T12769', 'T11638']",5,173,6 October 2013,folk,2:56:04
